,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Company,Model
3198,Delhi,2018,9000,Diesel,Manual,3,14.0,2179.0,155.0,7.0,13.0,mahindra,mahindra xuv500
3200,Ahmedabad,2004,60000,Petrol,Manual,2,17.3,1061.0,64.0,5.0,1.4,maruti,maruti wagon
3201,Kochi,2017,38424,Petrol,Manual,3,17.8,1497.0,117.3,5.0,7.51,honda,honda city
3202,Delhi,2014,50000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,4.3,maruti,maruti swift
3203,Mumbai,2015,19000,Petrol,Automatic,3,18.0,1497.0,117.3,5.0,8.95,honda,honda city
3204,Kochi,2015,58734,Diesel,Manual,3,20.77,1248.0,88.76,7.0,6.91,maruti,maruti ertiga
3205,Coimbatore,2016,65257,Diesel,Manual,3,19.01,1461.0,108.45,5.0,9.75,renault,renault duster
3206,Jaipur,2010,130000,Diesel,Manual,2,19.3,1248.0,73.9,5.0,4.0,maruti,maruti swift
3207,Hyderabad,2011,79000,Diesel,Manual,3,23.2,1248.0,73.94,5.0,3.65,maruti,maruti ritz
3208,Chennai,2013,78000,Diesel,Manual,3,15.1,2179.0,140.0,7.0,10.75,mahindra,mahindra xuv500
3209,Kochi,2015,49133,Petrol,Manual,3,19.4,1198.0,86.8,5.0,4.51,honda,honda brio
3211,Coimbatore,2014,54448,Diesel,Manual,3,21.02,1248.0,88.8,5.0,3.7,tata,tata manza
3212,Hyderabad,2014,158793,Diesel,Manual,3,12.8,2494.0,102.0,7.0,12.99,toyota,toyota innova
3213,Delhi,2015,62088,Petrol,Manual,3,18.6,1197.0,85.8,5.0,4.15,maruti,maruti swift
3214,Kolkata,2012,14800,Petrol,Manual,3,17.01,1591.0,121.3,5.0,4.4,hyundai,hyundai verna
3215,Kolkata,2015,26000,Petrol,Manual,3,17.3,1497.0,117.3,7.0,4.25,honda,honda mobilio
3216,Mumbai,2017,32005,Petrol,Manual,3,18.0,1198.0,86.7,5.0,4.25,honda,honda amaze
3217,Jaipur,2017,35000,Petrol,Automatic,3,18.0,1497.0,117.3,5.0,7.7,honda,honda city
3219,Mumbai,2017,11000,Petrol,Manual,3,17.4,1497.0,117.3,5.0,8.5,honda,honda city
3220,Jaipur,2008,62000,Petrol,Automatic,3,9.5,2997.0,231.1,5.0,7.0,mercedes-benz,mercedes-benz e-class
3221,Chennai,2002,65134,Petrol,Manual,1,13.8,1299.0,70.0,5.0,0.8,ford,ford ikon
3222,Delhi,2013,71000,Diesel,Manual,3,13.0,2982.0,168.5,7.0,15.25,toyota,toyota fortuner
3223,Hyderabad,2008,51366,Petrol,Manual,3,19.0,998.0,66.1,5.0,2.25,maruti,maruti a-star
3225,Coimbatore,2012,60908,Petrol,Automatic,2,15.6,1497.0,116.3,5.0,6.42,honda,honda city
3226,Chennai,2012,93450,Diesel,Manual,2,23.19,1461.0,63.12,5.0,2.5,nissan,nissan micra
3227,Hyderabad,2011,104000,Diesel,Automatic,3,19.08,1582.0,126.32,5.0,5.75,hyundai,hyundai verna
3229,Coimbatore,2015,42999,Diesel,Manual,3,15.1,2179.0,140.0,7.0,11.52,mahindra,mahindra xuv500
3230,Delhi,2014,90000,Diesel,Manual,3,21.5,1248.0,88.8,5.0,4.5,maruti,maruti sx4
3231,Bangalore,2013,72000,Petrol,Automatic,3,15.0,1396.0,98.6,5.0,4.75,hyundai,hyundai i20
3232,Coimbatore,2019,54321,Diesel,Manual,3,19.67,1582.0,126.2,5.0,13.54,hyundai,hyundai creta
3233,Kochi,2015,59630,Diesel,Automatic,3,13.0,2143.0,201.1,5.0,23.41,mercedes-benz,mercedes-benz e-class
3234,Hyderabad,2013,116000,Diesel,Automatic,2,12.55,2982.0,168.5,7.0,19.25,toyota,toyota fortuner
3236,Delhi,2011,70000,Diesel,Automatic,3,14.21,2143.0,203.0,5.0,13.0,mercedes-benz,mercedes-benz e-class
3237,Chennai,2010,80000,Petrol,Manual,3,10.2,2354.0,180.0,5.0,3.99,honda,honda accord
3238,Pune,2015,110000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,4.65,honda,honda amaze
3239,Ahmedabad,2013,56454,Diesel,Manual,3,28.4,1248.0,73.75,5.0,4.65,maruti,maruti dzire
3240,Kolkata,2013,60000,Petrol,Manual,3,18.6,1197.0,85.8,5.0,3.15,maruti,maruti swift
3241,Delhi,2013,56000,Petrol,Automatic,3,14.53,1798.0,138.1,5.0,8.25,toyota,toyota corolla
3243,Chennai,2012,63000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,4.5,maruti,maruti swift
3244,Kolkata,2017,15050,Diesel,Manual,3,16.3,1956.0,170.0,5.0,17.5,jeep,jeep compass
3245,Mumbai,2016,29401,Petrol,Manual,3,20.4,1197.0,81.8,5.0,4.31,maruti,maruti swift
3246,Kochi,2016,25238,Petrol,Manual,3,18.7,1199.0,88.7,5.0,6.2,honda,honda jazz
3248,Kochi,2011,58752,Petrol,Manual,3,16.47,1198.0,73.9,5.0,3.32,volkswagen,volkswagen polo
3249,Delhi,2011,62000,Petrol,Automatic,3,12.9,1799.0,130.0,5.0,3.75,honda,honda civic
3250,Bangalore,2013,132000,Petrol,Manual,3,16.78,1496.0,88.73,5.0,4.7,toyota,toyota etios
3251,Chennai,2016,51000,Petrol,Manual,3,17.01,1591.0,121.3,5.0,6.5,hyundai,hyundai verna
3253,Coimbatore,2016,61717,Diesel,Manual,3,22.7,1598.0,118.0,5.0,8.94,maruti,maruti sx4
3255,Delhi,2016,17000,Petrol,Manual,3,21.4,1197.0,83.1,5.0,6.9,maruti,maruti baleno
3256,Mumbai,2016,31378,Petrol,Manual,3,18.2,1199.0,88.7,5.0,5.9,honda,honda jazz
3257,Pune,2013,114000,Diesel,Automatic,3,22.32,1582.0,126.3,5.0,6.75,hyundai,hyundai verna
3258,Ahmedabad,2014,81000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,4.1,honda,honda amaze
3260,Mumbai,2014,35000,Petrol,Manual,3,15.0,1598.0,103.52,5.0,4.5,skoda,skoda rapid
3261,Kolkata,2013,60001,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,14.5,audi,audi a4
3262,Jaipur,2014,75074,Diesel,Manual,3,23.4,1248.0,74.0,5.0,5.25,maruti,maruti swift
3263,Kolkata,2012,80000,Diesel,Manual,2,22.3,1248.0,74.0,5.0,1.2,tata,tata indica
3264,Jaipur,2006,147350,Diesel,Manual,2,12.99,2494.0,100.6,8.0,4.95,toyota,toyota innova
3265,Hyderabad,2013,60000,Diesel,Manual,3,19.64,1461.0,108.45,5.0,7.5,renault,renault duster
3267,Delhi,2015,58000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,4.45,honda,honda amaze
3269,Kochi,2015,57034,Diesel,Manual,3,23.2,1248.0,73.94,5.0,4.38,maruti,maruti ritz
3270,Kochi,2016,40810,Diesel,Manual,3,28.09,1248.0,88.5,5.0,7.9,maruti,maruti ciaz
3273,Coimbatore,2018,34630,Petrol,Automatic,3,21.4,1197.0,83.1,5.0,7.29,maruti,maruti baleno
3274,Hyderabad,2012,45122,Diesel,Manual,3,23.5,1498.0,88.7,5.0,6.0,ford,ford fiesta
3275,Chennai,2011,126000,Diesel,Manual,1,16.0,2179.0,140.0,7.0,6.7,mahindra,mahindra xuv500
3276,Jaipur,2009,63000,Petrol,Manual,3,19.7,796.0,46.3,5.0,1.5,maruti,maruti alto
3278,Kochi,2014,63288,Diesel,Manual,3,15.1,2179.0,140.0,7.0,7.77,mahindra,mahindra xuv500
3279,Coimbatore,2012,43337,Petrol,Manual,3,17.92,1086.0,62.1,5.0,3.32,hyundai,hyundai santro
3280,Kochi,2015,46561,Diesel,Manual,3,22.9,1248.0,74.0,5.0,4.94,maruti,maruti swift
3282,Hyderabad,2016,48000,Petrol,Manual,3,25.17,799.0,53.3,5.0,3.4,renault,renault kwid
3283,Kochi,2013,56263,Diesel,Manual,3,22.9,1248.0,74.0,5.0,4.17,maruti,maruti swift
3284,Hyderabad,2005,84060,Petrol,Manual,2,17.3,993.0,60.0,5.0,1.25,maruti,maruti zen
3285,Mumbai,2016,9000,Petrol,Automatic,3,18.9,1197.0,82.0,5.0,5.45,hyundai,hyundai grand
3286,Jaipur,2012,79000,Diesel,Manual,3,21.12,1248.0,88.8,5.0,2.59,tata,tata manza
3287,Pune,2015,87900,Diesel,Manual,3,16.0,2179.0,140.0,7.0,12.01,mahindra,mahindra xuv500
3288,Delhi,2010,72425,Petrol,Manual,2,17.5,1197.0,85.8,5.0,2.45,maruti,maruti swift
3291,Hyderabad,2010,107000,Diesel,Automatic,3,14.84,2143.0,170.0,5.0,11.99,mercedes-benz,mercedes-benz new
3292,Delhi,2015,51000,Petrol,Automatic,3,18.0,1497.0,117.3,5.0,7.9,honda,honda city
3293,Pune,2010,140000,Diesel,Manual,1,12.8,2494.0,102.0,7.0,6.25,toyota,toyota innova
3294,Pune,2011,48000,Petrol,Manual,2,18.6,1199.0,79.4,5.0,1.8,chevrolet,chevrolet beat
3295,Delhi,2013,62000,CNG,Manual,3,26.6,998.0,58.16,5.0,2.8,maruti,maruti wagon
3296,Mumbai,2015,31000,Petrol,Manual,3,18.7,1199.0,88.7,5.0,4.9,honda,honda jazz
3297,Jaipur,2010,75055,Petrol,Manual,3,18.06,1198.0,75.0,5.0,2.25,nissan,nissan micra
3298,Coimbatore,2017,51210,Petrol,Automatic,3,19.12,1373.0,91.1,5.0,8.89,maruti,maruti ciaz
3299,Mumbai,2012,87000,Diesel,Automatic,3,12.55,2982.0,168.5,7.0,15.0,toyota,toyota fortuner
3301,Jaipur,2014,57000,Diesel,Manual,3,20.77,1248.0,88.8,7.0,7.0,maruti,maruti ertiga
3302,Hyderabad,2016,9370,Petrol,Manual,3,22.74,796.0,47.3,5.0,2.95,maruti,maruti alto
3303,Chennai,2013,53226,Petrol,Manual,3,19.4,1198.0,86.8,5.0,3.3,honda,honda brio
3304,Hyderabad,2010,120000,Diesel,Manual,2,16.2,1493.0,110.0,5.0,3.5,hyundai,hyundai verna
3305,Jaipur,2007,75055,Petrol,Manual,3,12.8,1493.0,100.0,5.0,2.3,honda,honda city
3306,Coimbatore,2017,37247,Diesel,Manual,3,19.67,1582.0,126.2,5.0,13.69,hyundai,hyundai creta
3307,Delhi,2013,64000,Diesel,Manual,3,23.59,1364.0,67.06,5.0,3.1,toyota,toyota etios
3309,Pune,2017,40158,Diesel,Manual,3,19.67,1582.0,126.2,5.0,13.75,hyundai,hyundai creta
3310,Chennai,2017,11000,Petrol,Manual,3,18.7,1199.0,88.7,5.0,6.75,honda,honda jazz
3311,Chennai,2014,70010,Diesel,Manual,3,20.54,1598.0,103.6,5.0,5.25,volkswagen,volkswagen vento
3312,Mumbai,2015,82000,Diesel,Manual,3,16.0,2179.0,140.0,7.0,8.75,mahindra,mahindra xuv500
3314,Bangalore,2010,84000,Petrol,Automatic,2,11.1,2354.0,142.0,5.0,6.5,honda,honda accord
3315,Pune,2012,168000,Diesel,Manual,3,20.77,1248.0,88.76,7.0,4.5,maruti,maruti ertiga
3316,Hyderabad,2012,73670,Diesel,Manual,3,12.83,2696.0,162.0,7.0,12.5,mahindra,mahindra ssangyong
3317,Delhi,2014,89540,Diesel,Automatic,3,12.55,2982.0,168.5,7.0,16.8,toyota,toyota fortuner
3318,Hyderabad,2016,85423,Diesel,Manual,3,20.77,1248.0,88.8,7.0,8.75,maruti,maruti ertiga
3319,Pune,2013,48823,Diesel,Automatic,3,19.5,1582.0,126.24,5.0,8.5,hyundai,hyundai elantra
3320,Kolkata,2011,35082,Petrol,Manual,3,20.36,1197.0,78.9,5.0,2.21,hyundai,hyundai i10
3321,Jaipur,2012,126000,Petrol,Manual,3,16.8,796.0,34.2,5.0,1.6,maruti,maruti omni
3322,Delhi,2016,19000,Petrol,Automatic,3,15.5,1198.0,86.7,5.0,6.25,honda,honda amaze
3323,Mumbai,2007,69000,Petrol,Automatic,2,12.9,1799.0,130.0,5.0,2.25,honda,honda civic
3325,Ahmedabad,2010,48002,Petrol,Manual,2,13.14,1798.0,157.8,5.0,6.75,skoda,skoda superb
3326,Ahmedabad,2015,52324,Diesel,Manual,3,28.09,1248.0,88.5,5.0,6.25,maruti,maruti ciaz
3327,Delhi,2013,65000,Diesel,Manual,3,22.7,1498.0,89.84,5.0,5.1,ford,ford ecosport
3329,Hyderabad,2016,75700,Diesel,Manual,3,24.0,1120.0,70.0,5.0,5.7,hyundai,hyundai grand
3330,Bangalore,2013,43000,Diesel,Manual,3,20.5,1598.0,105.0,5.0,5.95,volkswagen,volkswagen vento
3331,Kochi,2012,42706,Diesel,Manual,3,25.44,936.0,56.3,5.0,2.4,chevrolet,chevrolet beat
3333,Hyderabad,2011,54348,Petrol,Automatic,3,19.2,1197.0,80.0,5.0,4.0,hyundai,hyundai i10
3334,Delhi,2013,84000,Diesel,Manual,3,23.59,1364.0,67.04,5.0,3.85,toyota,toyota etios
3335,Mumbai,2010,63298,Petrol,Automatic,3,14.53,1794.0,138.1,5.0,3.95,toyota,toyota corolla
3336,Jaipur,2013,75049,Petrol,Manual,2,20.36,1197.0,78.9,5.0,3.0,hyundai,hyundai i10
3337,Kochi,2018,24237,Petrol,Manual,3,18.16,1196.0,86.8,5.0,6.7,ford,ford figo
3338,Coimbatore,2016,22767,Petrol,Manual,3,18.5,1197.0,85.8,5.0,6.14,maruti,maruti ritz
3339,Bangalore,2012,58000,Petrol,Automatic,2,15.0,1396.0,98.6,5.0,4.4,hyundai,hyundai i20
3340,Pune,2017,57000,Diesel,Manual,3,26.59,1248.0,74.0,5.0,4.25,maruti,maruti swift
3343,Coimbatore,2017,68319,Diesel,Automatic,3,12.55,2982.0,168.5,7.0,25.12,toyota,toyota fortuner
3344,Kochi,2017,30711,Petrol,Manual,3,20.3,998.0,68.05,5.0,4.45,hyundai,hyundai eon
3345,Kolkata,2011,38277,Diesel,Manual,3,21.9,1396.0,90.0,5.0,2.4,hyundai,hyundai i20
3346,Pune,2012,115000,Diesel,Manual,2,20.54,1598.0,103.6,5.0,4.33,volkswagen,volkswagen vento
3347,Coimbatore,2017,46849,Petrol,Automatic,3,18.5,1197.0,83.14,5.0,6.93,maruti,maruti swift
3348,Ahmedabad,2014,64000,Diesel,Manual,3,21.9,1396.0,90.0,5.0,4.25,hyundai,hyundai i20
3349,Pune,2010,130923,Diesel,Automatic,3,14.21,2143.0,203.0,5.0,12.5,mercedes-benz,mercedes-benz e-class
3350,Chennai,2015,15000,Petrol,Manual,3,18.9,1197.0,82.0,5.0,4.9,hyundai,hyundai grand
3351,Mumbai,2014,32720,Diesel,Manual,3,23.0,1396.0,90.0,5.0,4.5,hyundai,hyundai i20
3352,Jaipur,2016,12500,Petrol,Manual,3,25.17,799.0,53.3,5.0,3.0,renault,renault kwid
3353,Chennai,2015,59800,Petrol,Automatic,3,16.9,1197.0,82.0,5.0,5.8,hyundai,hyundai xcent
3354,Pune,2011,54211,Petrol,Manual,3,15.04,1598.0,103.6,5.0,3.33,volkswagen,volkswagen vento
3355,Kochi,2015,62242,Diesel,Automatic,3,14.39,1998.0,163.7,5.0,6.62,chevrolet,chevrolet cruze
3356,Mumbai,2015,54000,Diesel,Manual,2,19.01,1461.0,108.5,5.0,5.75,nissan,nissan terrano
3357,Hyderabad,2012,65000,Diesel,Manual,3,22.32,1582.0,126.32,5.0,6.2,hyundai,hyundai verna
3358,Chennai,2015,55000,Petrol,Automatic,3,23.1,998.0,67.04,5.0,3.5,maruti,maruti celerio
3359,Pune,2010,71000,Petrol,Manual,3,18.9,998.0,67.1,5.0,2.0,maruti,maruti wagon
3360,Chennai,2012,70000,Diesel,Manual,3,21.9,1396.0,88.8,5.0,4.0,hyundai,hyundai i20
3361,Mumbai,2011,53000,Petrol,Automatic,3,12.3,1781.0,163.2,5.0,9.5,audi,audi a4
3362,Mumbai,2013,43000,Diesel,Automatic,3,17.05,1995.0,184.0,5.0,17.5,bmw,bmw x1
3363,Mumbai,2015,54000,Petrol,Automatic,3,14.3,1598.0,103.52,5.0,6.11,skoda,skoda rapid
3364,Ahmedabad,2014,51000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,3.75,hyundai,hyundai i10
3365,Hyderabad,2007,78000,Diesel,Manual,2,10.5,2835.0,107.2,6.0,6.2,mitsubishi,mitsubishi pajero
3366,Mumbai,2014,25000,Diesel,Manual,3,26.0,1498.0,98.6,5.0,6.15,honda,honda city
3367,Pune,2012,12600,Petrol,Manual,3,20.92,998.0,67.1,5.0,2.4,maruti,maruti alto
3368,Pune,2009,80000,Diesel,Manual,0,17.8,1248.0,75.0,5.0,2.15,maruti,maruti swift
3369,Kolkata,2016,21000,Petrol,Manual,3,18.9,1197.0,82.0,5.0,3.75,hyundai,hyundai grand
3370,Mumbai,2011,32000,Petrol,Manual,2,15.6,1196.0,70.0,5.0,2.15,ford,ford figo
3371,Bangalore,2015,50000,Petrol,Manual,3,18.9,1197.0,81.86,5.0,4.75,hyundai,hyundai grand
3372,Mumbai,2010,47500,Petrol,Manual,3,15.5,1586.0,103.3,5.0,2.45,maruti,maruti sx4
3373,Mumbai,2017,7500,Petrol,Manual,3,17.4,1497.0,117.3,5.0,11.15,honda,honda city
3374,Jaipur,2016,68163,Diesel,Automatic,3,19.6,1461.0,108.45,5.0,8.9,renault,renault duster
3375,Ahmedabad,2014,61000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,4.35,honda,honda amaze
3376,Jaipur,2015,100000,Diesel,Manual,2,12.99,2494.0,100.6,7.0,12.0,toyota,toyota innova
3377,Mumbai,2009,61500,Diesel,Automatic,2,16.07,1995.0,181.0,5.0,8.5,bmw,bmw 3
3378,Kochi,2017,42883,Petrol,Manual,3,19.81,1086.0,68.05,5.0,4.27,hyundai,hyundai i10
3379,Jaipur,2012,97000,Diesel,Manual,2,20.45,1461.0,83.8,5.0,4.25,renault,renault duster
3381,Kochi,2017,35384,Diesel,Manual,3,24.3,1248.0,88.5,5.0,8.61,maruti,maruti vitara
3383,Coimbatore,2018,32189,Diesel,Manual,3,23.0,1498.0,98.96,5.0,9.25,ford,ford ecosport
3384,Chennai,2016,27000,Diesel,Automatic,3,19.08,1582.0,126.2,5.0,8.6,hyundai,hyundai verna
3385,Coimbatore,2018,22734,Petrol,Manual,3,16.47,1198.0,74.0,5.0,7.53,volkswagen,volkswagen polo
3386,Mumbai,2014,58002,Diesel,Manual,3,19.64,1461.0,108.45,5.0,5.75,renault,renault duster
3387,Chennai,2012,31500,Petrol,Automatic,3,16.5,1198.0,86.8,5.0,4.15,honda,honda brio
3388,Coimbatore,2017,30933,Petrol,Manual,3,18.16,1196.0,86.8,5.0,5.84,ford,ford figo
3389,Kolkata,2012,27090,Diesel,Automatic,3,18.53,1968.0,187.74,5.0,16.5,audi,audi a6
3391,Pune,2013,45000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,3.55,hyundai,hyundai i10
3392,Hyderabad,2018,11691,Petrol,Manual,3,18.6,1197.0,81.83,5.0,8.9,hyundai,hyundai i20
3393,Hyderabad,2006,121000,Diesel,Manual,2,16.4,1896.0,90.0,5.0,2.5,skoda,skoda octavia
3394,Hyderabad,2010,118077,Diesel,Manual,3,16.2,1493.0,110.0,5.0,3.85,hyundai,hyundai verna
3395,Chennai,2012,36300,Petrol,Automatic,1,17.1,1591.0,121.4,5.0,7.5,hyundai,hyundai verna
3396,Mumbai,2005,90000,Petrol,Manual,2,15.3,1341.0,61.0,5.0,1.8,hyundai,hyundai getz
3397,Chennai,2010,78000,Diesel,Manual,3,20.0,1399.0,68.0,5.0,2.25,ford,ford figo
3398,Mumbai,2015,42000,Diesel,Automatic,3,17.68,1968.0,174.33,5.0,24.25,audi,audi a6
3399,Mumbai,2015,27000,Petrol,Manual,3,16.47,1198.0,74.0,5.0,4.35,volkswagen,volkswagen polo
3400,Kolkata,2012,22000,Diesel,Automatic,3,17.05,1995.0,184.0,5.0,11.5,bmw,bmw x1
3401,Kolkata,2014,49000,Petrol,Manual,3,17.4,1497.0,117.3,5.0,4.75,honda,honda city
3402,Hyderabad,2012,42600,Diesel,Manual,3,23.0,1396.0,90.0,5.0,4.99,hyundai,hyundai i20
3403,Coimbatore,2018,12794,Petrol,Automatic,3,19.0,1199.0,88.7,5.0,9.15,honda,honda jazz
3405,Hyderabad,2014,88046,Petrol,Automatic,3,10.1,2354.0,152.0,5.0,13.99,honda,honda cr-v
3407,Coimbatore,2018,82739,Diesel,Automatic,3,16.0,2179.0,140.0,7.0,16.77,mahindra,mahindra xuv500
3410,Ahmedabad,2012,60000,Diesel,Automatic,2,12.35,2179.0,187.74,5.0,23.5,land,land rover
3411,Pune,2017,38000,Petrol,Manual,3,22.74,796.0,47.3,5.0,3.11,maruti,maruti alto
3412,Kochi,2013,56344,Petrol,Manual,3,17.6,1496.0,88.73,5.0,4.57,toyota,toyota etios
3413,Mumbai,2014,17858,Petrol,Manual,3,17.0,1197.0,80.0,5.0,5.32,hyundai,hyundai i20
3414,Hyderabad,2012,53000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,3.2,hyundai,hyundai i10
3415,Kochi,2016,67906,Diesel,Manual,3,25.2,1248.0,74.0,5.0,5.63,maruti,maruti swift
3416,Hyderabad,2015,19000,Petrol,Manual,3,21.1,814.0,55.2,5.0,3.0,hyundai,hyundai eon
3417,Mumbai,2010,67000,Diesel,Automatic,2,22.69,1995.0,190.0,5.0,9.25,bmw,bmw 3
3418,Delhi,2011,80000,Diesel,Manual,3,23.57,1396.0,70.0,5.0,1.2,tata,tata indigo
3419,Delhi,2015,61000,Petrol,Manual,3,22.74,796.0,47.3,5.0,2.15,maruti,maruti alto
3420,Pune,2010,39000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,3.05,volkswagen,volkswagen polo
3421,Ahmedabad,2014,59000,Petrol,Automatic,3,14.28,1798.0,138.03,5.0,11.5,toyota,toyota corolla
3422,Hyderabad,2008,80931,Petrol,Manual,3,17.92,1086.0,62.1,5.0,2.3,hyundai,hyundai santro
3423,Kolkata,2016,34000,Petrol,Manual,3,20.4,1197.0,81.8,5.0,4.95,maruti,maruti swift
3425,Coimbatore,2018,52380,Diesel,Manual,3,24.3,1248.0,88.5,5.0,10.15,maruti,maruti vitara
3426,Kolkata,2011,44000,Petrol,Manual,3,18.06,1198.0,75.0,5.0,2.65,nissan,nissan micra
3427,Hyderabad,2015,84000,Diesel,Manual,3,20.0,1399.0,68.05,5.0,3.8,ford,ford figo
3428,Kochi,2017,41697,Petrol,Automatic,3,13.1,1997.0,141.1,5.0,16.68,honda,honda cr-v
3429,Pune,2014,163000,Diesel,Manual,3,19.01,1461.0,108.5,5.0,5.0,nissan,nissan terrano
3430,Chennai,2011,42000,Petrol,Manual,2,17.71,1197.0,78.9,5.0,3.75,toyota,toyota etios
3431,Jaipur,2013,129000,Diesel,Manual,1,21.27,1396.0,88.76,5.0,4.11,hyundai,hyundai i20
3432,Chennai,2015,32200,Petrol,Manual,2,18.16,1196.0,86.8,5.0,4.25,ford,ford figo
3433,Mumbai,2004,129000,Diesel,Manual,3,10.5,2835.0,107.2,6.0,3.45,mitsubishi,mitsubishi pajero
3434,Bangalore,2014,40000,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,22.5,audi,audi a4
3435,Delhi,2006,150000,Petrol,Manual,3,12.4,1998.0,132.0,8.0,4.5,toyota,toyota innova
3436,Jaipur,2007,140000,Petrol,Manual,3,15.26,1150.0,74.9,5.0,0.9,chevrolet,chevrolet aveo
3437,Hyderabad,2006,63181,Petrol,Manual,3,15.3,1341.0,83.0,5.0,1.85,hyundai,hyundai getz
3438,Kolkata,2013,39575,Diesel,Manual,3,25.8,1498.0,98.6,5.0,3.25,honda,honda amaze
3440,Coimbatore,2014,70374,Diesel,Manual,3,22.7,1498.0,89.84,5.0,7.34,ford,ford ecosport
3442,Delhi,2016,13460,Petrol,Manual,3,18.6,1197.0,81.86,5.0,6.45,hyundai,hyundai elite
3443,Chennai,2011,122000,Diesel,Manual,2,12.8,2494.0,102.0,8.0,10.75,toyota,toyota innova
3445,Jaipur,2005,115000,Petrol,Manual,2,17.3,1061.0,64.0,5.0,0.99,maruti,maruti wagon
3446,Pune,2016,75000,Diesel,Automatic,3,12.62,2198.0,158.0,7.0,24.0,ford,ford endeavour
3447,Jaipur,2016,30292,Petrol,Manual,3,18.6,1197.0,81.86,5.0,6.1,hyundai,hyundai elite
3449,Bangalore,2013,74000,Petrol,Manual,3,16.47,1198.0,73.9,5.0,4.65,volkswagen,volkswagen polo
3450,Mumbai,2014,56100,Petrol,Manual,3,13.7,1997.0,153.86,5.0,9.75,honda,honda cr-v
3451,Bangalore,2014,61325,Petrol,Manual,3,18.9,1197.0,81.86,5.0,4.4,hyundai,hyundai grand
3452,Kolkata,2014,33000,Petrol,Manual,3,19.1,1197.0,85.8,5.0,3.99,maruti,maruti swift
3454,Kochi,2014,71390,Diesel,Manual,3,22.7,1498.0,89.84,5.0,5.27,ford,ford ecosport
3455,Mumbai,2014,41000,CNG,Manual,3,26.2,998.0,58.2,5.0,3.5,maruti,maruti wagon
3456,Ahmedabad,2016,67000,Diesel,Manual,3,26.0,1498.0,98.6,5.0,7.25,honda,honda city
3457,Chennai,2008,99000,Diesel,Manual,2,17.0,1405.0,70.0,5.0,1.6,tata,tata indigo
3458,Pune,2014,142000,Diesel,Manual,2,19.01,1461.0,108.45,5.0,6.0,renault,renault duster
3459,Chennai,2010,26966,Petrol,Manual,3,20.36,1197.0,78.9,5.0,3.0,hyundai,hyundai i10
3460,Mumbai,2015,27628,Petrol,Manual,3,18.7,1199.0,88.7,5.0,4.95,honda,honda jazz
3461,Hyderabad,2016,82497,Diesel,Manual,3,23.65,1248.0,88.5,5.0,8.99,maruti,maruti sx4
3462,Mumbai,2007,86000,Petrol,Manual,1,11.9,2354.0,144.0,5.0,1.85,honda,honda accord
3463,Coimbatore,2016,26981,Petrol,Manual,3,16.47,1198.0,73.9,5.0,6.16,volkswagen,volkswagen polo
3464,Hyderabad,2010,110471,Diesel,Manual,3,21.1,1248.0,73.9,5.0,3.5,maruti,maruti ritz
3465,Jaipur,2014,69000,Petrol,Manual,3,19.5,1199.0,88.76,5.0,4.5,honda,honda amaze
3466,Hyderabad,2017,12000,Petrol,Manual,3,18.6,1197.0,81.83,5.0,7.75,hyundai,hyundai i20
3467,Hyderabad,2014,77500,Diesel,Manual,3,20.45,1461.0,83.8,5.0,6.6,renault,renault duster
3468,Kochi,2014,48031,Petrol,Manual,3,18.9,1197.0,82.0,5.0,4.98,hyundai,hyundai grand
3470,Mumbai,2014,69565,Diesel,Manual,3,22.7,1498.0,89.84,5.0,5.55,ford,ford ecosport
3471,Hyderabad,2016,45492,Diesel,Automatic,3,21.5,1498.0,108.5,5.0,10.3,volkswagen,volkswagen vento
3472,Chennai,2011,85000,Petrol,Automatic,2,11.7,2354.0,177.6,5.0,7.5,honda,honda accord
3473,Hyderabad,2008,55902,Petrol,Manual,3,14.49,1399.0,92.7,5.0,1.8,chevrolet,chevrolet aveo
3474,Hyderabad,2017,18500,Petrol,Manual,3,16.2,1199.0,74.0,5.0,6.25,volkswagen,volkswagen polo
3475,Hyderabad,2015,129750,Diesel,Manual,2,14.95,2489.0,93.7,7.0,6.8,mahindra,mahindra xylo
3476,Hyderabad,2009,50902,Petrol,Automatic,3,19.2,1197.0,80.0,5.0,3.0,hyundai,hyundai i10
3477,Coimbatore,2015,84725,Diesel,Manual,3,15.1,2179.0,140.0,7.0,11.6,mahindra,mahindra xuv500
3478,Mumbai,2013,40000,Diesel,Manual,2,22.7,1582.0,126.24,5.0,6.95,hyundai,hyundai elantra
